iter	BalancedAccuracy	Logloss
0	0.9671442103	0.2028917604
1	0.9744849633	0.1227532642
2	0.9696305944	0.08877413226
3	0.9841937012	0.06241565554
4	0.9841937012	0.05235694989
5	1	0.03706439286
6	1	0.02851849359
7	1	0.02435187518
8	1	0.0204257665
9	1	0.0179575556
10	1	0.01576347424
11	1	0.0139285872
12	1	0.01267536297
13	1	0.01130565475
14	1	0.01028662441
15	1	0.009506857931
16	1	0.008868369961
17	1	0.008370493356
18	1	0.007899939745
19	1	0.007409598054
20	1	0.006923690069
21	1	0.006619077134
22	1	0.006277976324
23	1	0.0060033555
24	1	0.005771441203
25	1	0.005562079982
26	1	0.005371808912
27	1	0.005147683188
28	1	0.004959000102
29	1	0.004805160651
30	1	0.004663293942
31	1	0.004524181108
32	1	0.004399453644
33	1	0.004277181399
34	1	0.004165547125
35	1	0.004061230929
36	1	0.00395205744
37	1	0.003851482946
38	1	0.003735524268
39	1	0.003651812132
40	1	0.003551937961
41	1	0.003437300282
42	1	0.003346624784
43	1	0.003279907661
44	1	0.003209945389
45	1	0.003129189085
46	1	0.003057705414
47	1	0.003001684749
48	1	0.00294824534
49	1	0.002897272453
50	1	0.002831282386
51	1	0.002773535175
52	1	0.002727405815
53	1	0.002680204
54	1	0.002614969819
55	1	0.002561394197
56	1	0.002516614115
57	1	0.002476194326
58	1	0.002439804456
59	1	0.002386320263
60	1	0.002345775771
61	1	0.002302604858
62	1	0.002271345101
63	1	0.002230442937
64	1	0.002199093844
65	1	0.00216754608
66	1	0.002138213441
67	1	0.002109933077
68	1	0.002082642818
69	1	0.00205628584
70	1	0.002022025779
71	1	0.001989681402
72	1	0.001965427929
73	1	0.00194195621
74	1	0.001911925417
75	1	0.001889640897
76	1	0.001868042437
77	1	0.001847095206
78	1	0.001819775508
79	1	0.001799823339
80	1	0.001780279475
81	1	0.001754995443
82	1	0.001736410081
83	1	0.001718346118
84	1	0.001700779132
85	1	0.001677580443
86	1	0.001655412715
87	1	0.001638879917
88	1	0.00162278459
89	1	0.001607107256
90	1	0.00158503808
91	1	0.001570049091
92	1	0.001555437029
93	1	0.001536256057
94	1	0.001522215169
95	1	0.001508515186
96	1	0.00149514208
97	1	0.001477329254
98	1	0.001464454008
99	1	0.00144624516
